run_name,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,mean_reward,std_reward
exp01_baseline,0.0001,0.99,32,1.0,0.05,0.1,-1.0,3.41
exp02_lr_high,0.001,0.99,32,1.0,0.05,0.1,-33.0,0.0
exp03_lr_low,0.00001,0.99,32,1.0,0.05,0.1,-6.4,8.31
exp04_gamma_low,0.0001,0.9,32,1.0,0.05,0.1,-2.2,4.75
exp05_gamma_extreme,0.0001,0.5,32,1.0,0.05,0.1,-1.2,6.91
exp06_batch_high,0.0001,0.99,64,1.0,0.05,0.1,-1.2,6.21
exp07_batch_low,0.0001,0.99,16,1.0,0.05,0.1,-51.2,3.19
exp08_eps_end_high,0.0001,0.99,32,1.0,0.2,0.1,-4.4,1.02
exp09_eps_slow_decay,0.0001,0.99,32,1.0,0.05,0.5,-3.0,3.74
exp10_tuned_combo,0.0001,0.99,64,1.0,0.05,0.1,7.4,7.76
