run_name,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,mean_reward,std_reward
exp04_gamma_high,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,5.4,10.32666451474047
exp04_lr_mid,CnnPolicy,0.0002,0.99,32,1.0,0.05,0.1,2.4,4.363484845854286
exp05_gamma_low,CnnPolicy,0.0001,0.95,32,1.0,0.05,0.1,-0.2,5.844655678480984
exp05_gamma_mid,CnnPolicy,0.0001,0.97,32,1.0,0.05,0.1,-6.2,8.059776671843954
exp06_gamma_low_mid,CnnPolicy,0.0001,0.92,32,1.0,0.05,0.1,-0.8,4.445222154178574
exp06_batch_high,CnnPolicy,0.0001,0.99,64,1.0,0.05,0.1,-2.4,6.590902821313632
exp07_batch_low,CnnPolicy,0.0001,0.99,16,1.0,0.05,0.1,-7.2,3.4292856398964493
exp07_batch_mid,CnnPolicy,0.0001,0.99,48,1.0,0.05,0.1,4.8,4.166533331199932
exp08_eps_slow_decay,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.2,-6.2,2.9257477676655586
exp08_eps_start_mid,CnnPolicy,0.0001,0.99,32,0.8,0.05,0.1,-17.8,4.955804677345547
exp09_eps_end_low,CnnPolicy,0.0001,0.99,32,1.0,0.03,0.1,-21.4,6.248199740725323
exp09_gamma_batch_tuned,CnnPolicy,0.0001,0.95,64,1.0,0.05,0.1,2.0,6.899275324264136
