run_name,policy,lr,gamma,batch_size,eps_start,eps_end,eps_fraction,mean_reward,std_reward
exp01_baseline,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,-10.8,3.31
exp02_lr_mid_high,CnnPolicy,0.0005,0.99,32,1.0,0.05,0.1,-25.0,4.98
exp03_lr_very_low,CnnPolicy,0.000005,0.99,32,1.0,0.05,0.1,-74.6,24.96
exp04_gamma_high,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,-16.6,12.85
exp05_gamma_mid,CnnPolicy,0.0001,0.95,32,1.0,0.05,0.1,4.2,6.01
exp06_batch_very_high,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,-4.8,7.93
exp07_batch_very_low,CnnPolicy,0.0001,0.99,8,1.0,0.05,0.1,-33.4,2.58
exp08_eps_start_low,CnnPolicy,0.0001,0.99,32,0.5,0.05,0.1,-16.2,4.02
exp09_eps_end_very_low,CnnPolicy,0.0001,0.99,32,1.0,0.01,0.2,-34.6,11.6
exp10_tuned_combo,CnnPolicy,0.0001,0.95,128,1.0,0.05,0.1,2.6,3.20
exp_mlp_vs_cnn,MlpPolicy,0.0001,0.99,32,1.0,0.05,0.1,-34.6,0.49
